id,name,brand,address,city,state,zip_code,latitude,longitude,phone,hours,features
31,Pizza Hut #31,Pizza Hut,5015 4th St,Los Angeles,CA,90050,34.041779,-118.226531,(901) 209-8508,7:00 AM - 10:00 PM,"dine-in,takeout"
32,Habit Burger #32,Habit Burger,2270 Harbor Blvd,New York,NY,10054,40.716563,-74.005412,(101) 450-7054,10:00 AM - 12:00 AM,"drive-thru,dine-in,takeout"
33,KFC #33,KFC,5056 Lake Rd,Chicago,IL,60693,41.871918,-87.625478,(608) 208-5905,7:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
34,Taco Bell #34,Taco Bell,9164 Park Blvd,Houston,TX,77044,29.736847,-95.330829,(774) 819-4450,6:00 AM - 12:00 AM,"dine-in,delivery,takeout"
35,Pizza Hut #35,Pizza Hut,8380 5th Ave,Phoenix,AZ,85042,33.46715,-112.038709,(850) 294-7939,10:00 AM - 12:00 AM,"drive-thru,dine-in,delivery"
36,Habit Burger #36,Habit Burger,4391 Washington Ave,Philadelphia,PA,19166,39.902955,-75.138088,(198) 922-8007,24 Hours,"drive-thru,dine-in,delivery"
37,KFC #37,KFC,2542 Cedar Ln,San Antonio,TX,78214,29.385287,-98.449095,(785) 796-3426,8:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
38,Taco Bell #38,Taco Bell,753 Airport Rd,San Diego,CA,92155,32.669883,-117.174635,(923) 898-5088,7:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
39,Pizza Hut #39,Pizza Hut,6758 Lake Rd,Dallas,TX,75229,32.804712,-96.758587,(753) 366-3900,8:00 AM - 10:00 PM,"drive-thru,dine-in,delivery"
40,Habit Burger #40,Habit Burger,6845 Industrial Pkwy,San Jose,CA,95195,37.306136,-121.843851,(953) 473-3608,7:00 AM - 10:00 PM,dine-in
41,KFC #41,KFC,3744 Market St,Austin,TX,78768,30.304417,-97.707241,(785) 512-4728,9:00 AM - 11:00 PM,"drive-thru,dine-in,delivery"
42,Taco Bell #42,Taco Bell,4664 College St,Jacksonville,FL,32218,30.348203,-81.665853,(324) 559-9346,8:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
43,Pizza Hut #43,Pizza Hut,4379 Washington Ave,Fort Worth,TX,76184,32.799424,-97.369266,(764) 239-2776,8:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
44,Habit Burger #44,Habit Burger,8479 Elm St,Columbus,OH,43259,39.984055,-83.017432,(439) 394-5173,6:00 AM - 11:00 PM,dine-in
45,KFC #45,KFC,8921 Spring St,Charlotte,NC,28295,35.177269,-80.800542,(283) 572-8066,7:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
46,Taco Bell #46,Taco Bell,2141 Hillcrest Ave,Indianapolis,IN,46248,39.780716,-86.141761,(468) 516-7691,6:00 AM - 12:00 AM,dine-in
47,Pizza Hut #47,Pizza Hut,3243 3rd Ave,San Francisco,CA,94195,37.794621,-122.413959,(946) 893-3851,10:00 AM - 12:00 AM,dine-in
48,Habit Burger #48,Habit Burger,4800 Market St,Seattle,WA,98165,47.610994,-122.382059,(989) 821-6279,11:00 AM - 11:00 PM,"drive-thru,dine-in"
49,KFC #49,KFC,7852 Industrial Pkwy,Denver,CO,80231,39.733416,-105.01893,(801) 490-9445,6:00 AM - 12:00 AM,"dine-in,takeout"
50,Taco Bell #50,Taco Bell,5185 Highland Dr,Nashville,TN,37235,36.194542,-86.756486,(372) 225-1757,9:00 AM - 11:00 PM,"drive-thru,dine-in"
51,Pizza Hut #51,Pizza Hut,7561 3rd Ave,Oklahoma City,OK,73190,35.478727,-97.489551,(739) 399-7291,11:00 AM - 11:00 PM,dine-in
52,Habit Burger #52,Habit Burger,190 Airport Rd,Las Vegas,NV,89123,36.144298,-115.124194,(896) 424-3881,24 Hours,"drive-thru,dine-in"
53,KFC #53,KFC,2088 4th St,Portland,OR,97227,45.470222,-122.70348,(977) 883-9702,24 Hours,"dine-in,takeout,delivery,drive-thru"
54,Taco Bell #54,Taco Bell,8370 3rd Ave,Memphis,TN,38180,35.194504,-90.009857,(387) 362-8777,11:00 AM - 11:00 PM,"drive-thru,takeout"
55,Pizza Hut #55,Pizza Hut,4643 Commerce Blvd,Louisville,KY,40276,38.277878,-85.724514,(407) 841-4919,10:00 AM - 12:00 AM,"drive-thru,dine-in"
56,Habit Burger #56,Habit Burger,4551 Central Ave,Atlanta,GA,30350,33.706748,-84.409427,(308) 282-3267,10:00 AM - 10:00 PM,"dine-in,delivery,takeout"
57,KFC #57,KFC,3605 Oak Ave,Miami,FL,33163,25.750004,-80.226519,(336) 538-9890,11:00 AM - 11:00 PM,dine-in
58,Taco Bell #58,Taco Bell,6481 Airport Rd,Minneapolis,MN,55484,44.934027,-93.231711,(550) 983-7232,11:00 AM - 11:00 PM,"drive-thru,dine-in,delivery"
59,Pizza Hut #59,Pizza Hut,6489 College St,Tampa,FL,33663,27.994874,-82.477339,(338) 965-9947,9:00 AM - 11:00 PM,"drive-thru,dine-in"
60,Habit Burger #60,Habit Burger,575 2nd St,Detroit,MI,48253,42.303342,-83.052216,(486) 941-3704,11:00 AM - 11:00 PM,"drive-thru,dine-in,takeout"
61,KFC #61,KFC,6555 Pine St,Los Angeles,CA,90082,34.100272,-118.240288,(900) 285-8022,10:00 AM - 10:00 PM,"drive-thru,dine-in"
62,Taco Bell #62,Taco Bell,5463 Market St,New York,NY,10068,40.680973,-74.029984,(105) 545-7211,10:00 AM - 12:00 AM,dine-in
63,Pizza Hut #63,Pizza Hut,417 Hillcrest Ave,Chicago,IL,60679,41.853327,-87.671609,(600) 558-4673,7:00 AM - 10:00 PM,"drive-thru,dine-in,delivery"
64,Habit Burger #64,Habit Burger,3366 University Ave,Houston,TX,77012,29.785823,-95.324839,(779) 356-4908,10:00 AM - 10:00 PM,"drive-thru,dine-in"
65,KFC #65,KFC,3671 4th St,Phoenix,AZ,85099,33.465346,-112.067603,(854) 985-7043,10:00 AM - 10:00 PM,"dine-in,takeout"
66,Taco Bell #66,Taco Bell,5196 Elm St,Philadelphia,PA,19184,39.980379,-75.198823,(190) 519-7149,8:00 AM - 10:00 PM,"dine-in,delivery,takeout"
67,Pizza Hut #67,Pizza Hut,4078 Elm St,San Antonio,TX,78299,29.3817,-98.474539,(784) 900-2983,6:00 AM - 11:00 PM,"dine-in,takeout,delivery,drive-thru"
68,Habit Burger #68,Habit Burger,1229 Maple Dr,San Diego,CA,92192,32.718975,-117.144948,(925) 212-7882,11:00 AM - 11:00 PM,"dine-in,takeout"
69,KFC #69,KFC,7632 Valley View Dr,Dallas,TX,75229,32.770052,-96.810781,(756) 380-9548,10:00 AM - 12:00 AM,"drive-thru,dine-in"
70,Taco Bell #70,Taco Bell,9807 Sunset Blvd,San Jose,CA,95151,37.334687,-121.853727,(953) 288-5569,11:00 AM - 11:00 PM,"dine-in,delivery,takeout"
71,Pizza Hut #71,Pizza Hut,6309 Central Ave,Austin,TX,78713,30.292248,-97.736115,(787) 532-3979,11:00 AM - 11:00 PM,"dine-in,delivery,takeout"
72,Habit Burger #72,Habit Burger,4681 Airport Rd,Jacksonville,FL,32286,30.317682,-81.679865,(324) 769-1166,24 Hours,"dine-in,delivery,takeout"
73,KFC #73,KFC,8104 Cedar Ln,Fort Worth,TX,76140,32.714061,-97.308793,(767) 861-9041,11:00 AM - 11:00 PM,"drive-thru,dine-in,delivery"
74,Taco Bell #74,Taco Bell,4086 Lincoln Ave,Columbus,OH,43294,39.920505,-83.02664,(439) 577-8753,24 Hours,"dine-in,takeout,delivery,drive-thru"
75,Pizza Hut #75,Pizza Hut,5519 1st Ave,Charlotte,NC,28299,35.21965,-80.818506,(287) 477-6023,10:00 AM - 12:00 AM,"dine-in,delivery,takeout"
76,Habit Burger #76,Habit Burger,2058 Hillcrest Ave,Indianapolis,IN,46278,39.730466,-86.188842,(462) 396-4545,11:00 AM - 11:00 PM,"drive-thru,takeout"
77,KFC #77,KFC,8695 Lake Rd,San Francisco,CA,94146,37.797359,-122.371739,(941) 398-5853,9:00 AM - 11:00 PM,"dine-in,takeout,delivery,drive-thru"
78,Taco Bell #78,Taco Bell,8851 Park Blvd,Seattle,WA,98145,47.574144,-122.380685,(980) 255-5786,10:00 AM - 10:00 PM,"drive-thru,dine-in"
79,Pizza Hut #79,Pizza Hut,4758 5th Ave,Denver,CO,80271,39.699459,-105.039073,(807) 548-4020,6:00 AM - 11:00 PM,"drive-thru,takeout"
80,Habit Burger #80,Habit Burger,1170 2nd St,Nashville,TN,37272,36.206806,-86.783827,(371) 790-1878,10:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
81,KFC #81,KFC,1495 Highland Dr,Oklahoma City,OK,73125,35.498714,-97.471487,(738) 982-7818,9:00 AM - 11:00 PM,dine-in
82,Taco Bell #82,Taco Bell,9742 3rd Ave,Las Vegas,NV,89149,36.164951,-115.145528,(899) 835-1986,7:00 AM - 10:00 PM,"dine-in,delivery,takeout"
83,Pizza Hut #83,Pizza Hut,1430 Washington Ave,Portland,OR,97240,45.527752,-122.701935,(972) 765-2229,10:00 AM - 10:00 PM,"drive-thru,dine-in,delivery"
84,Habit Burger #84,Habit Burger,7799 Lincoln Ave,Memphis,TN,38114,35.140352,-90.030063,(383) 495-5632,11:00 AM - 11:00 PM,"dine-in,takeout"
85,KFC #85,KFC,9763 Spring St,Louisville,KY,40235,38.271438,-85.716109,(406) 317-9922,9:00 AM - 11:00 PM,"drive-thru,dine-in,takeout"
86,Taco Bell #86,Taco Bell,1269 Broadway,Atlanta,GA,30331,33.789841,-84.355337,(304) 809-5728,11:00 AM - 11:00 PM,"dine-in,takeout"
87,Pizza Hut #87,Pizza Hut,6694 Sunset Blvd,Miami,FL,33174,25.75857,-80.211391,(338) 705-8172,7:00 AM - 10:00 PM,"drive-thru,dine-in,delivery"
88,Habit Burger #88,Habit Burger,9991 Sunset Blvd,Minneapolis,MN,55413,45.016742,-93.241547,(551) 434-1339,10:00 AM - 12:00 AM,"drive-thru,dine-in,delivery"
89,KFC #89,KFC,8602 River Rd,Tampa,FL,33666,27.976911,-82.489681,(334) 385-8141,11:00 AM - 11:00 PM,"dine-in,takeout"
90,Taco Bell #90,Taco Bell,5360 Spring St,Detroit,MI,48223,42.328401,-83.054965,(482) 537-7744,11:00 AM - 11:00 PM,"drive-thru,takeout"
91,Pizza Hut #91,Pizza Hut,9112 Broadway,Los Angeles,CA,90068,34.068458,-118.253655,(901) 522-5135,6:00 AM - 12:00 AM,"dine-in,takeout"
92,Habit Burger #92,Habit Burger,8531 University Ave,New York,NY,10010,40.759818,-74.015582,(108) 673-7770,6:00 AM - 11:00 PM,"dine-in,delivery,takeout"
93,KFC #93,KFC,8267 River Rd,Chicago,IL,60666,41.879944,-87.617537,(600) 408-5375,24 Hours,"drive-thru,dine-in,takeout"
94,Taco Bell #94,Taco Bell,8041 Elm St,Houston,TX,77013,29.803167,-95.375988,(779) 445-3594,10:00 AM - 12:00 AM,"drive-thru,dine-in,delivery"
95,Pizza Hut #95,Pizza Hut,1958 4th St,Phoenix,AZ,85025,33.453625,-112.114679,(852) 710-5781,24 Hours,"drive-thru,takeout"
96,Habit Burger #96,Habit Burger,7836 Highland Dr,Philadelphia,PA,19168,39.944149,-75.16695,(198) 348-7284,9:00 AM - 11:00 PM,"drive-thru,dine-in,takeout"
97,KFC #97,KFC,6898 Central Ave,San Antonio,TX,78274,29.460503,-98.515975,(784) 202-5634,10:00 AM - 12:00 AM,"drive-thru,dine-in"
98,Taco Bell #98,Taco Bell,8035 1st Ave,San Diego,CA,92152,32.752226,-117.166445,(928) 981-9903,8:00 AM - 10:00 PM,"drive-thru,dine-in"
99,Pizza Hut #99,Pizza Hut,4012 Pine St,Dallas,TX,75259,32.819985,-96.76004,(753) 994-7730,6:00 AM - 11:00 PM,"dine-in,takeout,delivery,drive-thru"
100,Habit Burger #100,Habit Burger,6346 2nd St,San Jose,CA,95194,37.362671,-121.865777,(952) 707-1606,10:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
101,KFC #101,KFC,7313 Elm St,Austin,TX,78777,30.30417,-97.705681,(787) 215-3361,8:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
102,Taco Bell #102,Taco Bell,4442 Central Ave,Jacksonville,FL,32289,30.289683,-81.627547,(326) 865-2315,6:00 AM - 12:00 AM,dine-in
103,Pizza Hut #103,Pizza Hut,8094 College St,Fort Worth,TX,76179,32.800914,-97.31812,(760) 832-2121,9:00 AM - 11:00 PM,"drive-thru,takeout"
104,Habit Burger #104,Habit Burger,7210 Elm St,Columbus,OH,43291,40.010943,-82.974123,(431) 654-3725,10:00 AM - 12:00 AM,"drive-thru,dine-in,delivery"
105,KFC #105,KFC,4906 1st Ave,Charlotte,NC,28257,35.181699,-80.813486,(286) 349-5000,24 Hours,dine-in
106,Taco Bell #106,Taco Bell,2885 Washington Ave,Indianapolis,IN,46220,39.774993,-86.128848,(469) 591-4945,11:00 AM - 11:00 PM,"drive-thru,dine-in,takeout"
107,Pizza Hut #107,Pizza Hut,7629 Sunset Blvd,San Francisco,CA,94195,37.748119,-122.40561,(940) 676-5712,24 Hours,"drive-thru,dine-in,takeout"
108,Habit Burger #108,Habit Burger,9726 Lincoln Ave,Seattle,WA,98191,47.563586,-122.287576,(986) 906-5097,11:00 AM - 11:00 PM,"drive-thru,takeout"
109,KFC #109,KFC,8016 Elm St,Denver,CO,80240,39.709122,-105.001831,(806) 785-6881,10:00 AM - 12:00 AM,"drive-thru,takeout"
110,Taco Bell #110,Taco Bell,6584 Sunset Blvd,Nashville,TN,37211,36.114894,-86.748596,(379) 902-1803,11:00 AM - 11:00 PM,"drive-thru,takeout"
111,Pizza Hut #111,Pizza Hut,5872 Highland Dr,Oklahoma City,OK,73191,35.495174,-97.543388,(733) 835-5106,10:00 AM - 10:00 PM,"dine-in,takeout"
112,Habit Burger #112,Habit Burger,5161 Industrial Pkwy,Las Vegas,NV,89166,36.21024,-115.125166,(890) 793-6977,10:00 AM - 10:00 PM,"dine-in,takeout"
113,KFC #113,KFC,6907 Washington Ave,Portland,OR,97235,45.556163,-122.695728,(972) 752-6994,24 Hours,"drive-thru,takeout"
114,Taco Bell #114,Taco Bell,7994 Industrial Pkwy,Memphis,TN,38147,35.182547,-90.073303,(385) 317-8673,7:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
115,Pizza Hut #115,Pizza Hut,6611 College St,Louisville,KY,40281,38.278115,-85.785939,(405) 292-7464,6:00 AM - 11:00 PM,"drive-thru,takeout"
116,Habit Burger #116,Habit Burger,4395 Pine St,Atlanta,GA,30358,33.752657,-84.392521,(305) 310-4830,11:00 AM - 11:00 PM,"drive-thru,dine-in,delivery"
117,KFC #117,KFC,5474 Harbor Blvd,Miami,FL,33188,25.773655,-80.147483,(333) 863-2035,11:00 AM - 11:00 PM,"drive-thru,takeout"
118,Taco Bell #118,Taco Bell,842 Broadway,Minneapolis,MN,55448,44.992724,-93.303332,(557) 318-2592,9:00 AM - 11:00 PM,"drive-thru,dine-in,takeout"
119,Pizza Hut #119,Pizza Hut,8950 3rd Ave,Tampa,FL,33685,27.939465,-82.470099,(332) 624-2622,11:00 AM - 11:00 PM,dine-in
120,Habit Burger #120,Habit Burger,6170 Market St,Detroit,MI,48266,42.375305,-83.067826,(487) 441-6942,7:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
121,KFC #121,KFC,5976 Broadway,Los Angeles,CA,90060,34.056647,-118.195916,(904) 394-3001,11:00 AM - 11:00 PM,"dine-in,takeout"
122,Taco Bell #122,Taco Bell,9883 Main St,New York,NY,10016,40.729077,-73.99183,(105) 449-3063,9:00 AM - 11:00 PM,"dine-in,takeout"
123,Pizza Hut #123,Pizza Hut,9707 Market St,Chicago,IL,60639,41.911082,-87.624379,(605) 992-3417,6:00 AM - 11:00 PM,"drive-thru,takeout"
124,Habit Burger #124,Habit Burger,2229 Cedar Ln,Houston,TX,77042,29.796241,-95.405331,(772) 312-1422,10:00 AM - 10:00 PM,"drive-thru,dine-in,delivery"
125,KFC #125,KFC,9747 Central Ave,Phoenix,AZ,85012,33.434224,-112.045157,(852) 471-1858,10:00 AM - 10:00 PM,dine-in
126,Taco Bell #126,Taco Bell,7902 4th St,Philadelphia,PA,19156,39.955209,-75.140633,(198) 807-2786,11:00 AM - 11:00 PM,"dine-in,delivery,takeout"
127,Pizza Hut #127,Pizza Hut,8643 Lincoln Ave,San Antonio,TX,78268,29.468642,-98.539263,(780) 262-8847,8:00 AM - 10:00 PM,dine-in
128,Habit Burger #128,Habit Burger,7367 Oak Ave,San Diego,CA,92120,32.73431,-117.162073,(925) 822-3430,7:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
129,KFC #129,KFC,9084 Valley View Dr,Dallas,TX,75251,32.754202,-96.783692,(756) 811-9692,10:00 AM - 12:00 AM,"drive-thru,dine-in"
130,Taco Bell #130,Taco Bell,1974 College St,San Jose,CA,95193,37.338755,-121.89328,(958) 938-4522,8:00 AM - 10:00 PM,"drive-thru,dine-in"
131,Pizza Hut #131,Pizza Hut,7530 2nd St,Austin,TX,78763,30.306009,-97.751719,(781) 520-7992,6:00 AM - 12:00 AM,"drive-thru,takeout"
132,Habit Burger #132,Habit Burger,7870 Oak Ave,Jacksonville,FL,32221,30.31963,-81.690436,(321) 295-8075,7:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
133,KFC #133,KFC,9708 Cedar Ln,Fort Worth,TX,76181,32.786677,-97.325163,(765) 886-3002,8:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
134,Taco Bell #134,Taco Bell,7029 College St,Columbus,OH,43216,39.998561,-82.954687,(434) 814-6119,6:00 AM - 12:00 AM,"dine-in,takeout"
135,Pizza Hut #135,Pizza Hut,8000 Highland Dr,Charlotte,NC,28223,35.234892,-80.871826,(285) 769-7022,7:00 AM - 10:00 PM,"drive-thru,takeout"
136,Habit Burger #136,Habit Burger,9290 Commerce Blvd,Indianapolis,IN,46289,39.77581,-86.127378,(469) 891-1430,10:00 AM - 12:00 AM,"drive-thru,dine-in,delivery"
137,KFC #137,KFC,5162 Harbor Blvd,San Francisco,CA,94153,37.742942,-122.39913,(945) 206-3972,10:00 AM - 10:00 PM,dine-in
138,Taco Bell #138,Taco Bell,602 Oak Ave,Seattle,WA,98177,47.563159,-122.308003,(983) 585-7878,11:00 AM - 11:00 PM,"dine-in,takeout,delivery,drive-thru"
139,Pizza Hut #139,Pizza Hut,5414 Commerce Blvd,Denver,CO,80282,39.704941,-105.009136,(809) 286-1861,10:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
140,Habit Burger #140,Habit Burger,1436 Sunset Blvd,Nashville,TN,37266,36.188144,-86.826624,(376) 697-8242,8:00 AM - 10:00 PM,"drive-thru,takeout"
141,KFC #141,KFC,5755 3rd Ave,Oklahoma City,OK,73124,35.439157,-97.515165,(734) 894-8972,24 Hours,"drive-thru,takeout"
142,Taco Bell #142,Taco Bell,9919 Broadway,Las Vegas,NV,89110,36.124442,-115.150274,(893) 508-4460,10:00 AM - 10:00 PM,"drive-thru,takeout"
143,Pizza Hut #143,Pizza Hut,8249 Hillcrest Ave,Portland,OR,97265,45.494145,-122.716402,(972) 332-7229,24 Hours,"dine-in,delivery,takeout"
144,Habit Burger #144,Habit Burger,5902 Oak Ave,Memphis,TN,38160,35.149526,-90.015665,(380) 646-1307,11:00 AM - 11:00 PM,"dine-in,takeout"
145,KFC #145,KFC,9494 2nd St,Louisville,KY,40291,38.288911,-85.750924,(406) 496-2887,8:00 AM - 10:00 PM,"drive-thru,dine-in,delivery"
146,Taco Bell #146,Taco Bell,7638 University Ave,Atlanta,GA,30398,33.79562,-84.420813,(305) 290-8155,7:00 AM - 10:00 PM,"dine-in,delivery,takeout"
147,Pizza Hut #147,Pizza Hut,1388 2nd St,Miami,FL,33149,25.755268,-80.201755,(335) 426-6456,10:00 AM - 10:00 PM,"dine-in,takeout"
148,Habit Burger #148,Habit Burger,8455 Market St,Minneapolis,MN,55454,44.978848,-93.303597,(555) 944-3419,9:00 AM - 11:00 PM,"dine-in,takeout"
149,KFC #149,KFC,9969 Park Blvd,Tampa,FL,33693,27.915244,-82.487473,(331) 381-9095,11:00 AM - 11:00 PM,"drive-thru,dine-in"
150,Taco Bell #150,Taco Bell,5395 College St,Detroit,MI,48290,42.349513,-83.007595,(485) 354-8205,7:00 AM - 10:00 PM,"drive-thru,dine-in"
151,Pizza Hut #151,Pizza Hut,4600 Pine St,Los Angeles,CA,90017,34.046421,-118.263418,(905) 719-2215,10:00 AM - 12:00 AM,"drive-thru,dine-in"
152,Habit Burger #152,Habit Burger,4803 Oak Ave,New York,NY,10092,40.707991,-74.050311,(101) 829-9307,8:00 AM - 10:00 PM,"drive-thru,dine-in"
153,KFC #153,KFC,772 4th St,Chicago,IL,60683,41.886133,-87.584377,(603) 529-8792,24 Hours,"drive-thru,dine-in,takeout"
154,Taco Bell #154,Taco Bell,5726 Valley View Dr,Houston,TX,77020,29.806172,-95.374748,(778) 861-3827,6:00 AM - 11:00 PM,"dine-in,delivery,takeout"
155,Pizza Hut #155,Pizza Hut,8686 Maple Dr,Phoenix,AZ,85088,33.469162,-112.024901,(852) 572-7108,10:00 AM - 12:00 AM,dine-in
156,Habit Burger #156,Habit Burger,9895 Broadway,Philadelphia,PA,19190,39.943477,-75.181363,(195) 267-6401,7:00 AM - 10:00 PM,dine-in
157,KFC #157,KFC,9974 College St,San Antonio,TX,78229,29.402515,-98.471227,(785) 283-3317,6:00 AM - 12:00 AM,"drive-thru,takeout"
158,Taco Bell #158,Taco Bell,6521 Park Blvd,San Diego,CA,92186,32.76247,-117.141252,(921) 517-7171,6:00 AM - 12:00 AM,"drive-thru,dine-in,takeout"
159,Pizza Hut #159,Pizza Hut,8724 Oak Ave,Dallas,TX,75292,32.793712,-96.764104,(756) 720-6928,6:00 AM - 11:00 PM,"dine-in,takeout,delivery,drive-thru"
160,Habit Burger #160,Habit Burger,5698 Commerce Blvd,San Jose,CA,95172,37.319087,-121.841183,(953) 431-3253,10:00 AM - 10:00 PM,"dine-in,takeout"
161,KFC #161,KFC,8417 Commerce Blvd,Austin,TX,78779,30.246779,-97.714288,(788) 238-6517,10:00 AM - 10:00 PM,dine-in
162,Taco Bell #162,Taco Bell,2812 Hillcrest Ave,Jacksonville,FL,32266,30.297625,-81.687615,(320) 620-6968,9:00 AM - 11:00 PM,"drive-thru,dine-in"
163,Pizza Hut #163,Pizza Hut,7455 Highland Dr,Fort Worth,TX,76178,32.76656,-97.305561,(763) 516-8684,9:00 AM - 11:00 PM,"dine-in,takeout,delivery,drive-thru"
